Fish #,Crew,Page #,Bait,FL,TL,Pounds,Kg
1,CL,A1,N,545,596,3.05,1.38
2,CL,A1,N,819,866,15.85,7.19
3,CL,A1,N,690,750,7.15,3.24
4,CL,A1,N,527,586,3.45,1.56
5,CL,A1,N,690,751,10.15,4.60
6,CL,A1,N,490,550,3.05,1.38
7,CL,A1,N,481,526,2.25,1.02
8,CL,A1,N,590,641,5.15,2.34
9,CL,A1,N,572,645,4.45,2.02
10,CL,A1,N,569,622,4.45,2.02
11,CL,A1,N,455,493,1.95,0.88
12,CL,A1,N,583,641,4.05,1.84
13,CL,A1,N,680,730,6.55,2.97
14,CL,A1,N,595,671,4.85,2.20
15,CL,A1,N,668,740,6.65,3.02
16,CL,A1,N,696,750,9.25,4.20
17,CL,A1,N,705,770,8.55,3.88
18,CL,A1,N,745,810,12.25,5.56
19,CL,A1,N,520,570,3.15,1.43
20,CL,A1,N,605,660,5.85,2.65
21,CL,A1,N,610,657,5.45,2.47
22,CL,A1,N,588,641,4.05,1.84
23,CL,A1,N,476,516,2.45,1.11
24,CL,A1,N,507,552,2.75,1.25
25,CL,A1,N,546,597,3.55,1.61
26,CL,A2,N,601,655,5.05,2.29
27,CL,A2,N,610,655,5.25,2.38
28,CL,A2,N,495,539,2.65,1.20
29,CL,A2,N,436,480,1.85,0.84
30,CL,A2,N,548,596,4.05,1.84
31,CL,A2,N,498,538,2.85,1.29
32,CL,A2,N,503,553,2.75,1.25
33,CL,A2,N,620,677,6.15,2.79
34,CL,A2,N,430,470,1.85,0.84
35,CL,A2,N,606,660,4.35,1.97
36,CL,A2,N,510,566,2.95,1.34
37,CL,A2,N,640,709,6.55,2.97
38,CL,A2,N,600,647,6.25,2.84
39,CL,A2,N,469,529,2.35,1.07
40,CL,A2,N,496,545,3.15,1.43
41,CL,A2,N,453,498,2.15,0.98
42,CL,A2,N,478,503,2.25,1.02
43,CL,A2,N,428,465,1.95,0.88
44,CL,A2,N,538,592,3.25,1.47
45,CL,A2,N,590,637,4.25,1.93
46,CL,A2,N,543,592,3.75,1.70
47,CL,A2,N,485,532,2.25,1.02
48,CL,A2,N,409,453,1.65,0.75
49,CL,A2,N,752,820,10.85,4.92
50,CL,A2,N,519,570,3.55,1.61
51,CL,A3,N,628,676,5.95,2.70
52,CL,A3,N,435,470,1.75,0.79
53,CL,A3,N,465,499,2.25,1.02
54,CL,A3,N,573,611,4.05,1.84
55,CL,A3,N,572,623,3.85,1.75
56,CL,A3,N,780,840,13.95,6.33
57,CL,A3,Y,587,634,3.75,1.70
58,CL,A3,N,495,532,2.75,1.25
59,JH,B1,N,770,820,11.95,5.42
60,JH,B1,N,530,580,2.76,1.25
61,JH,B1,N,610,665,5.97,2.71
62,JH,B1,N,640,700,6.39,2.9
63,JH,B1,N,540,590,3.02,1.37
64,JH,B1,N,528,570,2.78,1.26
65,JH,B1,N,612,670,4.50,2.04
66,JH,B1,N,471,510,2.14,0.97
67,JH,B1,Y,660,725,6.99,3.17
68,JH,B1,Y,785,855,13.11,5.95
69,JH,B1,Y,595,660,4.67,2.12
70,JH,B1,Y,590,655,4.52,2.05
71,JH,B1,Y,682,741,8.15,3.7
72,JH,B1,Y,730,784,9.08,4.12
73,JH,B1,N,570,622,3.72,1.69
74,JH,B1,N,570,623,3.75,1.7
75,JH,B1,N,533,574,3.35,1.52
76,JH,B1,Y,610,675,6.44,2.92
77,JH,B1,Y,750,813,13.89,6.3
78,JH,B1,Y,630,690,6.19,2.81
79,JH,B1,Y,726,781,8.82,4
80,JH,B1,Y,540,585,5.22,2.37
81,JH,B1,N,531,580,2.80,1.27
82,JH,B1,N,545,597,3.26,1.48
83,JH,B1,N,610,665,4.96,2.25
84,JH,B1,N,640,695,6.26,2.84
85,JH,B2,N,703,765,8.93,4.05
86,JH,B2,N,435,475,1.76,0.8
87,JH,B2,N,643,698,5.40,2.45
88,JH,B2,N,454,500,1.98,0.9
89,JH,B2,N,550,598,3.31,1.5
90,JH,B2,N,510,566,2.50,1.13
91,JH,B2,N,460,504,2.00,0.91
92,JH,B2,N,666,727,7.00,3.18
93,JH,B2,N,460,505,2.00,0.91
94,JH,B2,N,505,553,3.00,1.36
95,JH,B2,N,553,597,3.50,1.59
96,JH,B2,Y,790,862,11.35,5.15
97,JH,B2,Y,778,861,10.58,4.8
98,JH,B2,Y,615,671,5.47,2.48
99,JH,B2,Y,844,900,15.63,7.09
100,JH,B2,Y,750,495,11.97,5.43
101,JH,B2,Y,741,805,10.62,4.82
102,JH,B2,Y,721,785,10.07,4.57
103,JH,B2,N,505,552,2.64,1.2
104,JH,B2,N,492,537,2.36,1.07
105,JH,B2,N,511,549,2.76,1.25
106,JH,B2,N,535,576,3.09,1.4
107,JH,B2,N,562,612,3.44,1.56
108,JH,B2,N,560,603,3.70,1.68
109,JH,B2,N,553,600,3.33,1.51
110,JH,B3,N,507,553,2.49,1.13
111,JH,B3,N,530,581,3.39,1.54
112,JH,B3,N,495,530,2.58,1.17
113,JH,B3,N,570,620,4.12,1.87
114,JH,B3,N,781,841,13.55,6.15
115,JH,B3,N,473,512,2.09,0.95
116,JH,B3,N,610,670,6.00,2.72
117,JH,B3,N,495,546,3.00,1.36
118,JH,B3,N,558,612,3.50,1.59
119,JH,B3,N,415,460,1.76,0.80
120,JH,B3,N,690,751,8.00,3.63
121,JH,B3,N,539,591,3.26,1.48
122,JH,B3,N,507,554,2.71,1.23
123,JH,B3,N,520,570,2.93,1.33
124,JH,B3,N,572,630,3.83,1.74
125,JH,B3,N,490,541,2.62,1.19
126,JH,B3,N,548,605,2.40,1.09
127,JH,B3,N,534,580,3.42,1.55
128,JH,B3,N,672,730,8.22,3.73
129,JH,B3,N,692,760,7.34,3.33
130,JH,B3,N,505,556,2.78,1.26
131,JH,B3,N,491,536,2.60,1.18
132,JH,B3,N,480,532,2.64,1.2
133,JH,B3,N,510,570,3.06,1.39
134,JH,B3,N,554,604,2.82,1.28
135,JH,B3,N,391,434,1.21,0.55
136,JH,B3,N,565,610,3.72,1.69
137,JH,B4,N,537,585,3.26,1.48
138,JH,B4,N,460,512,15.38,6.98
139,JH,B4,N,560,605,3.24,1.47
140,JH,B4,N,547,600,3.55,1.61
141,JH,B4,N,626,691,4.78,2.17
142,JH,B4,N,601,662,5.16,2.34
143,JH,B4,N,560,616,3.11,1.41
144,JH,B4,N,553,600,3.37,1.53
145,JH,B4,N,556,607,4.28,1.94
146,JH,B4,N,581,628,3.83,1.74
147,JH,B4,Y,562,610,4.17,1.89
148,JH,B4,Y,552,617,3.77,1.71
149,JH,B4,Y,543,597,3.39,1.54
150,JH,B4,Y,741,805,10.25,4.65
151,JH,B4,Y,785,855,12.01,5.45
152,JH,B4,Y,765,832,12.67,5.75
153,JH,B4,Y,733,786,9.26,4.2
154,JH,B4,Y,730,780,13.73,6.23
155,JH,B4,Y,665,734,9.87,4.48
156,JH,B4,Y,776,844,11.68,5.3
157,JH,B4,Y,800,865,13.66,6.2
158,JH,B4,Y,768,853,12.12,5.5
